epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.634,1.52635,2.39705,1.11504,0.76936,0.55628,0.61012,0.28138,1.95636,1.29317,0.96353,0.00332308,0.00332308,0.00332308
2,154.004,1.53788,1.13431,1.07354,0.73584,0.562,0.59648,0.25452,2.04321,1.63587,0.98621,0.00661248,0.00661248,0.00661248
3,230.188,1.74021,1.34385,1.13654,0.53557,0.33461,0.33803,0.16033,2.3289,2.27771,1.0676,0.00985788,0.00985788,0.00985788
4,306.43,1.84388,1.47888,1.18687,0.67425,0.53858,0.55277,0.24381,2.11432,1.55645,1.05493,0.009802,0.009802,0.009802
5,382.58,1.85947,1.41183,1.18856,0.63812,0.46051,0.46449,0.21212,2.10285,1.97854,1.07163,0.009736,0.009736,0.009736
6,465.896,1.78628,1.3339,1.17154,0.74061,0.52804,0.56848,0.26141,2.07098,1.67578,1.06478,0.00967,0.00967,0.00967
7,552.359,1.69813,1.23133,1.14307,0.81846,0.58451,0.64576,0.2886,1.9745,1.55411,1.00811,0.009604,0.009604,0.009604
8,632.524,1.6885,1.19284,1.12746,0.83747,0.58194,0.6414,0.30172,1.924,1.32709,1.00359,0.009538,0.009538,0.009538
9,716.942,1.64848,1.16149,1.13076,0.82599,0.61923,0.68722,0.34089,1.83398,1.26597,1.00161,0.009472,0.009472,0.009472
10,803.089,1.59995,1.12626,1.10346,0.8203,0.6013,0.67905,0.3449,1.8311,1.22937,0.98784,0.009406,0.009406,0.009406
11,882.849,1.59232,1.12502,1.1059,0.81822,0.63258,0.70439,0.3724,1.68693,1.18168,0.96492,0.00934,0.00934,0.00934
12,967.486,1.52567,1.05151,1.08563,0.87607,0.62572,0.72812,0.38647,1.71207,1.0915,0.97246,0.009274,0.009274,0.009274
13,1053.87,1.52762,1.03539,1.0961,0.86802,0.65742,0.74857,0.40655,1.65542,1.07859,0.96221,0.009208,0.009208,0.009208
14,1140.01,1.51126,1.01209,1.07501,0.86979,0.66311,0.74736,0.41314,1.62983,1.117,0.9562,0.009142,0.009142,0.009142
15,1226.17,1.46047,0.97671,1.05553,0.85208,0.68752,0.7556,0.41825,1.61409,1.04325,0.94006,0.009076,0.009076,0.009076
16,1312.05,1.47195,0.95959,1.05337,0.88002,0.67163,0.74484,0.41685,1.63558,1.05796,0.94621,0.00901,0.00901,0.00901
17,1395.92,1.45666,0.95828,1.07163,0.88735,0.70025,0.77194,0.43338,1.58942,0.99823,0.94151,0.008944,0.008944,0.008944
18,1481.85,1.43884,0.93803,1.04576,0.88521,0.67669,0.75813,0.4271,1.6075,1.04579,0.94426,0.008878,0.008878,0.008878
19,1562.12,1.44371,0.93105,1.05909,0.87949,0.70088,0.77791,0.43441,1.56337,0.99246,0.93543,0.008812,0.008812,0.008812
20,1638.35,1.38867,0.897,1.03594,0.87877,0.70317,0.77913,0.43972,1.54811,0.99231,0.93214,0.008746,0.008746,0.008746
21,1714.73,1.39712,0.88969,1.04612,0.87605,0.69844,0.77816,0.4494,1.53386,0.94991,0.9271,0.00868,0.00868,0.00868
22,1791.31,1.38464,0.88882,1.03849,0.90499,0.70011,0.78326,0.44471,1.55018,0.9399,0.92768,0.008614,0.008614,0.008614
23,1868.25,1.36351,0.86326,1.02546,0.90165,0.7005,0.783,0.44782,1.52089,0.91607,0.92814,0.008548,0.008548,0.008548
24,1947.62,1.34491,0.83652,1.03673,0.8996,0.71447,0.79418,0.45797,1.49188,0.8899,0.92952,0.008482,0.008482,0.008482
25,2023.95,1.34598,0.84537,1.02141,0.90964,0.72204,0.80307,0.45983,1.51681,0.92525,0.92375,0.008416,0.008416,0.008416
26,2100.68,1.34,0.85124,1.0134,0.89908,0.70702,0.7887,0.44987,1.53003,0.91962,0.925,0.00835,0.00835,0.00835
27,2177.3,1.31089,0.82656,1.00981,0.8922,0.73026,0.80238,0.46608,1.48826,0.91307,0.91722,0.008284,0.008284,0.008284
28,2254.41,1.31664,0.81287,1.00754,0.94044,0.72148,0.81257,0.46955,1.49743,0.87278,0.91415,0.008218,0.008218,0.008218
29,2331.14,1.30468,0.8228,1.00824,0.921,0.70279,0.79526,0.46279,1.47481,0.9087,0.91657,0.008152,0.008152,0.008152
30,2407.97,1.31644,0.8186,1.00595,0.89831,0.74826,0.81764,0.48944,1.43016,0.84194,0.91084,0.008086,0.008086,0.008086
31,2484.48,1.27561,0.77043,1.00199,0.91642,0.73628,0.81785,0.48362,1.41003,0.84779,0.91127,0.00802,0.00802,0.00802
32,2560.94,1.26733,0.7788,0.9919,0.91337,0.73636,0.81768,0.49444,1.41834,0.83181,0.90969,0.007954,0.007954,0.007954
33,2637.41,1.25108,0.76703,0.9873,0.91757,0.74933,0.82642,0.49597,1.41431,0.82791,0.90576,0.007888,0.007888,0.007888
34,2713.5,1.26636,0.77357,0.99272,0.91784,0.73306,0.81998,0.49066,1.41253,0.81522,0.91314,0.007822,0.007822,0.007822
35,2796.32,1.25953,0.76163,0.98893,0.90721,0.72366,0.8153,0.48574,1.42278,0.81557,0.90959,0.007756,0.007756,0.007756
36,2882.36,1.27647,0.76635,0.9893,0.90387,0.74977,0.82566,0.494,1.41746,0.80278,0.91117,0.00769,0.00769,0.00769
37,2968.41,1.25931,0.7701,0.98649,0.91773,0.74056,0.81697,0.48304,1.42268,0.83431,0.90704,0.007624,0.007624,0.007624
38,3054.29,1.24188,0.73205,0.98255,0.92725,0.75865,0.83461,0.50488,1.37498,0.79114,0.90361,0.007558,0.007558,0.007558
39,3140.39,1.23593,0.74648,0.97658,0.92333,0.75696,0.83466,0.49751,1.39162,0.78413,0.90796,0.007492,0.007492,0.007492
40,3226.39,1.22287,0.73822,0.98465,0.91523,0.7375,0.81934,0.48939,1.42533,0.82658,0.91156,0.007426,0.007426,0.007426
41,3312.26,1.21823,0.72612,0.9797,0.92446,0.7658,0.84473,0.5083,1.36664,0.75563,0.90306,0.00736,0.00736,0.00736
