epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.563,3.2781,8.04706,3.4175,0.43483,0.33384,0.24787,0.07848,2.54264,2.35953,1.8679,0.00332949,0.00332949,0.00332949
2,476.13,2.51788,2.59711,2.07225,0.30676,0.18504,0.14466,0.03892,2.92052,2.8047,1.82197,0.00661885,0.00661885,0.00661885
3,705.906,2.29898,2.07612,1.83151,0.32229,0.23061,0.17394,0.05954,2.57951,2.75661,1.68064,0.00986421,0.00986421,0.00986421
4,937.081,2.1481,1.83564,1.7096,0.70932,0.60397,0.61304,0.29154,1.86617,1.49211,1.41194,0.009802,0.009802,0.009802
5,1179.51,1.99792,1.66859,1.60099,0.78906,0.60227,0.67211,0.35361,1.72757,1.50138,1.31681,0.009736,0.009736,0.009736
6,1420.55,1.87444,1.53002,1.51647,0.88069,0.64708,0.74653,0.39755,1.67746,1.30884,1.28772,0.00967,0.00967,0.00967
7,1660.85,1.805,1.41201,1.46415,0.86671,0.66986,0.74279,0.39541,1.66887,1.25915,1.25877,0.009604,0.009604,0.009604
8,1889.85,1.75427,1.37992,1.44679,0.8406,0.70775,0.74509,0.39065,1.61537,1.17234,1.24133,0.009538,0.009538,0.009538
9,2118.28,1.70608,1.33209,1.3923,0.87791,0.71332,0.79749,0.44187,1.6057,1.12604,1.22507,0.009472,0.009472,0.009472
10,2345.58,1.63853,1.25395,1.34178,0.90813,0.74673,0.8228,0.4608,1.55882,1.0548,1.20686,0.009406,0.009406,0.009406
11,2573,1.61962,1.22202,1.36438,0.88685,0.73369,0.81762,0.46662,1.50572,1.07519,1.18786,0.00934,0.00934,0.00934
12,2807.79,1.57806,1.18641,1.32412,0.91366,0.74628,0.83285,0.47689,1.5194,1.03577,1.18043,0.009274,0.009274,0.009274
13,3049.72,1.58767,1.16352,1.31222,0.90571,0.76002,0.83282,0.46271,1.54547,1.05506,1.17785,0.009208,0.009208,0.009208
14,3291.7,1.54772,1.11877,1.2841,0.90898,0.77343,0.83694,0.46815,1.51035,0.99968,1.16113,0.009142,0.009142,0.009142
15,3533.86,1.51505,1.11184,1.28457,0.92557,0.75811,0.83726,0.4813,1.48958,1.03941,1.15207,0.009076,0.009076,0.009076
16,3775.9,1.50462,1.08866,1.26985,0.92833,0.78088,0.85223,0.4879,1.4973,0.95682,1.15766,0.00901,0.00901,0.00901
17,4012.56,1.48527,1.06339,1.25792,0.89654,0.78253,0.83604,0.48444,1.42126,0.97855,1.12489,0.008944,0.008944,0.008944
18,4247.1,1.48415,1.06134,1.25022,0.91585,0.76401,0.8407,0.50616,1.43449,0.95514,1.12385,0.008878,0.008878,0.008878
19,4488.01,1.47034,1.04618,1.23501,0.92334,0.78977,0.86327,0.51835,1.4146,0.91463,1.10673,0.008812,0.008812,0.008812
20,4727.34,1.45772,1.03518,1.24127,0.93884,0.79245,0.86111,0.51259,1.42416,0.91618,1.13321,0.008746,0.008746,0.008746
21,4965.48,1.43563,1.00921,1.22779,0.92752,0.79741,0.86146,0.5055,1.44084,0.94126,1.11515,0.00868,0.00868,0.00868
22,5193.25,1.44457,0.99808,1.22962,0.93825,0.80504,0.87267,0.51828,1.42338,0.90384,1.10379,0.008614,0.008614,0.008614
23,5435.75,1.43214,0.99377,1.22689,0.94354,0.79705,0.86719,0.50851,1.41752,0.94659,1.10137,0.008548,0.008548,0.008548
24,5668.95,1.41381,0.98312,1.20995,0.92499,0.80455,0.87175,0.51683,1.41937,0.87504,1.10314,0.008482,0.008482,0.008482
25,5896.36,1.40556,0.95849,1.21158,0.93787,0.80055,0.87457,0.53518,1.36613,0.86486,1.09166,0.008416,0.008416,0.008416
26,6124.69,1.4019,0.95227,1.20075,0.9383,0.80643,0.87953,0.54981,1.33823,0.8458,1.07559,0.00835,0.00835,0.00835
27,6353.41,1.40914,0.96537,1.1957,0.93899,0.81621,0.88154,0.53749,1.38235,0.83294,1.09595,0.008284,0.008284,0.008284
28,6581.2,1.36906,0.92054,1.19191,0.94404,0.81097,0.87896,0.53168,1.39005,0.83932,1.0836,0.008218,0.008218,0.008218
29,6810.84,1.38069,0.93239,1.18199,0.953,0.80656,0.88633,0.53927,1.33565,0.83386,1.07411,0.008152,0.008152,0.008152
30,7038.23,1.37115,0.91882,1.19083,0.94258,0.82831,0.88863,0.55064,1.3265,0.82474,1.07207,0.008086,0.008086,0.008086
31,7266.12,1.36064,0.90547,1.18326,0.92964,0.84187,0.89496,0.55676,1.30946,0.79487,1.07045,0.00802,0.00802,0.00802
32,7493.96,1.36579,0.90677,1.18462,0.94229,0.82858,0.8903,0.53565,1.33763,0.79782,1.07318,0.007954,0.007954,0.007954
33,7721.6,1.35529,0.89539,1.15882,0.93417,0.823,0.88671,0.55669,1.32446,0.81295,1.07074,0.007888,0.007888,0.007888
34,7949.17,1.34375,0.89744,1.16765,0.94637,0.82136,0.89246,0.55186,1.30533,0.83246,1.06053,0.007822,0.007822,0.007822
35,8176.41,1.35351,0.90102,1.17654,0.94284,0.82437,0.89359,0.55361,1.33809,0.79877,1.06899,0.007756,0.007756,0.007756
36,8403.85,1.33092,0.88021,1.15468,0.94586,0.82526,0.89342,0.55656,1.31109,0.80356,1.05913,0.00769,0.00769,0.00769
37,8631.49,1.32522,0.86744,1.16343,0.95747,0.8306,0.89416,0.56732,1.30385,0.76892,1.05178,0.007624,0.007624,0.007624
38,8859.32,1.31799,0.85064,1.16292,0.94942,0.82755,0.89181,0.55605,1.30807,0.80183,1.05668,0.007558,0.007558,0.007558
39,9086.94,1.32105,0.86224,1.15941,0.95784,0.83556,0.90074,0.56438,1.29476,0.75643,1.06295,0.007492,0.007492,0.007492
40,9314.49,1.30853,0.85935,1.1471,0.94953,0.83982,0.89802,0.56671,1.30174,0.75827,1.05203,0.007426,0.007426,0.007426
41,9542.1,1.31581,0.8562,1.1574,0.94543,0.8451,0.89872,0.56081,1.30492,0.77928,1.0478,0.00736,0.00736,0.00736
